Application,Name,Type,sourceLanguage,mainDirectory,subDirectory,fileName,fileExtension,JavaComments,CCType,Scope,NewProgramName,FunctionalArea,JavaClass,comments
SMART,ERORKEY,CPY,,SMART,CPY,ERORKEY,CPY,,,,,SXXXXXX,,
SMART,ERORSKM,CPY,,SMART,CPY,ERORSKM,CPY,,,,,SXXXXXX,,
SMART,BSSCSKM,CPY,,SMART,CPY,BSSCSKM,CPY,,,,,SXXXXXX,,
SMART,BMSGSKM,CPY,,SMART,CPY,BMSGSKM,CPY,,,,,SXXXXXX,,
SMART,BMSGKEY,CPY,,SMART,CPY,BMSGKEY,CPY,,,,,SXXXXXX,,
SMART,CONLOGREC,CPY,,SMART,CPY,CONLOGREC,CPY,,,,,SXXXXXX,,
FSU,AGNTGRPSKM,CPY,,FSU,CPY,AGNTGRPSKM,CPY,,,,,FFSUAGT,, 
FSU,CLTSSKM,CPY,,FSU,CPY,CLTSSKM,CPY,,,,,FCLTGEN,, 
FSU,CONFNAME,CPY,,FSU,CPY,CONFNAME,CPY,,,,,FCLTMNT,, 
FSU,FSUPFXCPY,CPY,,FSU,CPY,FSUPFXCPY,CPY,,,,,FCLTMNT,, 
SMART,T1696REC,CPY,,SMART,CPY,T1696REC,CPY,,,,,SDEVTAB,,
SMART,SYSERRREC,CPY,,SMART,CPY,SYSERRREC,CPY,,,,,SDEVTAB,,
SMART,BUSDATEREC,CPY,,SMART,CPY,BUSDATEREC,CPY,,,,,SDEVTAB,,
SMART,DESCSMTKEY,CPY,,SMART,CPY,DESCSMTKEY,CPY,,,,,SSFCDCT,,
SMART,DESCSMTSKM,CPY,,SMART,CPY,DESCSMTSKM,CPY,,,,,SSFCDCT,,
SMART,BSPRSKM,CPY,,SMART,CPY,BSPRSKM,CPY,,,,,SXXXXXX,,
SMART,BPRDSKM,CPY,,SMART,CPY,BPRDSKM,CPY,,,,,SXXXXXX,,
SMART,BUPASKM,CPY,,SMART,CPY,BUPASKM,CPY,,,,,SXXXXXX,,
SMART,ITEMSMTSKM,CPY,,SMART,CPY,ITEMSMTSKM,CPY,,,,,SXXXXXX,,
SMART,DESCSKM,CPY,,SMART,CPY,DESCSKM,CPY,,,,,SSFCDCT,, 
SMART,DESCKEY,CPY,,SMART,CPY,DESCKEY,CPY,,,,,SSFCDCT,, 
GROUP,GAGEREC,CPY,,GROUP,CPY,GAGEREC,CPY,,,,,GUNDNBT,, 
GROUP,GMJRCLSREC,CPY,,GROUP,CPY,GMJRCLSREC,CPY,,,,,GUNDSVT,, 
GROUP,GPRODREC,CPY,,GROUP,CPY,GPRODREC,CPY,,,,,GUNDNBT,, 
SMART,BACHMAIN,CPY,,SMART,CPY,BACHMAIN,CPY,,,,,SSCTBRT,, 
SMART,COMMONPAR,CPY,,SMART,CPY,COMMONPAR,CPY,,,,,SSCTBRT,, 
SMART,CONERRREC,CPY,,SMART,CPY,CONERRREC,CPY,,,,,SXXXXXX,, 
SMART,CONJOBREC,CPY,,SMART,CPY,CONJOBREC,CPY,,,,,SXXXXXX,, 
SMART,CONTOTREC,CPY,,SMART,CPY,CONTOTREC,CPY,,,,,SXXXXXX,, 
SMART,CONTROLREC,CPY,,SMART,CPY,CONTROLREC,CPY,,,,,SXXXXXX,, 
