Application,Name,Type,sourceLanguage,mainDirectory,subDirectory,fileName,fileExtension,JavaComments,CCType,Scope,NewProgramName,FunctionalArea,JavaClass,comments
GROUP,B7553,CBL,,DIARY,CBL,B7553,CBL,,SRC,,,DBCHDRY,,
GROUP,CHKDATE,CBL,,DIARY,CBL,CHKDATE,CBL,,SRC,,,DBCHDRY,,
GROUP,CHKDTAARA,CLP,,DIARY,CLP,CHKDTAARA,CLP,,SRC,,,DBCHDRY,,
GROUP,CNVSTRING,CBL,,DIARY,CBL,CNVSTRING,CBL,,SRC,O,,DBCHDRY,,
GROUP,CRTDRYDTAQ,CLP,,DIARY,CLP,CRTDRYDTAQ,CLP,,SRC,,,DBCHDRY,,
GROUP,CRTDRYJOBQ,CLP,,DIARY,CLP,CRTDRYJOBQ,CLP,,SRC,,,DBCHDRY,,
GROUP,CRTDRYSBS,CLP,,DIARY,CLP,CRTDRYSBS,CLP,,SRC,,,DBCHDRY,,
GROUP,DACM,LF,,DIARY,,DACM,xls,,,,,DBCHDRY,,
GROUP,DACMKEY,CPY,,DIARY,CPY,DACMKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DACMPF,PF,,DIARY,,DACMPF,xls,,PF,,,DBCHDRY,,
GROUP,DACMSKM,CPY,,DIARY,CPY,DACMSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DCON,LF,,DIARY,,DCON,xls,,,,,DBCHDRY,,
GROUP,DCONINQ,LF,,DIARY,,DCONINQ,xls,,,,,DBCHDRY,,
GROUP,DCONINQKEY,CPY,,DIARY,CPY,DCONINQKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DCONINQSKM,CPY,,DIARY,CPY,DCONINQSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DCONKEY,CPY,,DIARY,CPY,DCONKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DCONMIN,LF,,DIARY,,DCONMIN,xls,,,,,DBCHDRY,,
GROUP,DCONMINKEY,CPY,,DIARY,CPY,DCONMINKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DCONMINSKM,CPY,,DIARY,CPY,DCONMINSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DCONMON,LF,,DIARY,,DCONMON,xls,,,,,DBCHDRY,,
GROUP,DCONMONKEY,CPY,,DIARY,CPY,DCONMONKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DCONMONSKM,CPY,,DIARY,CPY,DCONMONSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DCONPF,PF,,DIARY,,DCONPF,xls,,PF,,,DBCHDRY,,
GROUP,DCONRPT,LF,,DIARY,,DCONRPT,xls,,,,,DBCHDRY,,
GROUP,DCONRPTKEY,CPY,,DIARY,CPY,DCONRPTKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DCONRPTSKM,CPY,,DIARY,CPY,DCONRPTSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DCONSKM,CPY,,DIARY,CPY,DCONSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DCONSUB,LF,,DIARY,,DCONSUB,xls,,,,,DBCHDRY,,
GROUP,DCONSUBKEY,CPY,,DIARY,CPY,DCONSUBKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DCONSUBSKM,CPY,,DIARY,CPY,DCONSUBSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DHDR,LF,,DIARY,,DHDR,xls,,,,,DBCHDRY,,
GROUP,DHDRCHR,LF,,DIARY,,DHDRCHR,xls,,,,,DBCHDRY,,
GROUP,DHDRCHRKEY,CPY,,DIARY,CPY,DHDRCHRKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DHDRCHRSKM,CPY,,DIARY,CPY,DHDRCHRSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DHDRCTL,LF,,DIARY,,DHDRCTL,xls,,,,,DBCHDRY,,
GROUP,DHDRCTLKEY,CPY,,DIARY,CPY,DHDRCTLKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DHDRCTLSKM,CPY,,DIARY,CPY,DHDRCTLSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DHDRHLD,LF,,DIARY,,DHDRHLD,xls,,,,,DBCHDRY,,
GROUP,DHDRHLDKEY,CPY,,DIARY,CPY,DHDRHLDKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DHDRHLDSKM,CPY,,DIARY,CPY,DHDRHLDSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DHDRKEY,CPY,,DIARY,CPY,DHDRKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DHDRPF,PF,,DIARY,,DHDRPF,xls,,PF,,,DBCHDRY,,
GROUP,DHDRPRI,LF,,DIARY,,DHDRPRI,xls,,,,,DBCHDRY,,
GROUP,DHDRPRIKEY,CPY,,DIARY,CPY,DHDRPRIKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DHDRPRISKM,CPY,,DIARY,CPY,DHDRPRISKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DHDRSKM,CPY,,DIARY,CPY,DHDRSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DLOG,LF,,DIARY,,DLOG,xls,,,,,DBCHDRY,,
GROUP,DLOGCLR,LF,,DIARY,,DLOGCLR,xls,,,,,DBCHDRY,,
GROUP,DLOGCLRKEY,CPY,,DIARY,CPY,DLOGCLRKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DLOGCLRSKM,CPY,,DIARY,CPY,DLOGCLRSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DLOGENT,LF,,DIARY,,DLOGENT,xls,,,,,DBCHDRY,,
GROUP,DLOGENTKEY,CPY,,DIARY,CPY,DLOGENTKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DLOGENTSKM,CPY,,DIARY,CPY,DLOGENTSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DLOGERR,LF,,DIARY,,DLOGERR,xls,,,,,DBCHDRY,,
GROUP,DLOGERRKEY,CPY,,DIARY,CPY,DLOGERRKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DLOGERRSKM,CPY,,DIARY,CPY,DLOGERRSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DLOGKEY,CPY,,DIARY,CPY,DLOGKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DLOGLOG,LF,,DIARY,,DLOGLOG,xls,,,,,DBCHDRY,,
GROUP,DLOGLOGKEY,CPY,,DIARY,CPY,DLOGLOGKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DLOGLOGSKM,CPY,,DIARY,CPY,DLOGLOGSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DLOGPF,PF,,DIARY,,DLOGPF,xls,,PF,,,DBCHDRY,,
GROUP,DLOGSKM,CPY,,DIARY,CPY,DLOGSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DOVRPF,PF,,DIARY,,DOVRPF,xls,,PF,,,DBCHDRY,,
GROUP,DRPT,LF,,DIARY,,DRPT,xls,,,,,DBCHDRY,,
GROUP,DRPTKEY,CPY,,DIARY,CPY,DRPTKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DRPTPF,PF,,DIARY,,DRPTPF,xls,,PF,,,DBCHDRY,,
GROUP,DRPTSKM,CPY,,DIARY,CPY,DRPTSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DRPTSRT,LF,,DIARY,,DRPTSRT,xls,,,,,DBCHDRY,,
GROUP,DRPTSRTKEY,CPY,,DIARY,CPY,DRPTSRTKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DRPTSRTSKM,CPY,,DIARY,CPY,DRPTSRTSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DRYACM,CBL,,DIARY,CBL,DRYACM,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYALLRPT,CBL,,DIARY,CBL,DRYALLRPT,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYALLRPTC,CLP,,DIARY,CLP,DRYALLRPTC,CLP,,SRC,,,DBCHDRY,,
GROUP,DRYBATC,CBL,,DIARY,CBL,DRYBATC,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYBATCH,CBL,,DIARY,CBL,DRYBATCH,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYBOH,CBL,,DIARY,CBL,DRYBOH,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYCLEAR,CMD,,DIARY,CMD,DRYCLEAR,CMD,,SRC,,,DBCHDRY,,
GROUP,DRYCLEARC,CLP,,DIARY,CLP,DRYCLEARC,CLP,,SRC,,,DBCHDRY,,
GROUP,DRYCLR,CBL,,DIARY,CBL,DRYCLR,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYCNTREC,CPY,,DIARY,CPY,DRYCNTREC,CPY,,SRC,,,DBCHDRY,,
GROUP,DRYCNTRPT,CBL,,DIARY,CBL,DRYCNTRPT,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYCNTRPTC,CLP,,DIARY,CLP,DRYCNTRPTC,CLP,,SRC,,,DBCHDRY,,
GROUP,DRYCNVDTB,CPY,,DIARY,CPY,DRYCNVDTB,CPY,,SRC,,,DBCHDRY,,
GROUP,DRYCNVDTEB,CBL,,DIARY,CBL,DRYCNVDTEB,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYCONTOT,CBL,,DIARY,CBL,DRYCONTOT,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYCTL,CBL,,DIARY,CBL,DRYCTL,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYDATCON,CBL,,DIARY,CBL,DRYDATCON,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYDTAQCPY,CPY,,DIARY,CPY,DRYDTAQCPY,CPY,,SRC,,,DBCHDRY,,
